<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210315,000000,58972.7100000,60601.0700000,54568.0000000,55636.1500000,31641
20210316,000000,55629.0800000,56970.0000000,53221.0000000,56927.1100000,24418
20210317,000000,56924.2600000,58996.3800000,54138.0100000,58925.5400000,22688
20210318,000000,58925.5400000,60100.0000000,56996.1500000,57644.9500000,21450
20210319,000000,57644.9500000,59461.9900000,56260.0000000,58039.6600000,16418
20210320,000000,58026.9100000,59928.0000000,57827.9700000,58116.7000000,9712
20210321,000000,58126.3400000,58651.2200000,55543.8900000,57363.3200000,11826
20210322,000000,57377.2900000,58421.6800000,53739.5000000,54110.0700000,19521
20210323,000000,54111.4900000,55858.0000000,53000.0000000,54345.5400000,19216
20210324,000000,54333.2700000,57209.9700000,51673.8200000,52276.1600000,23761
20210325,000000,52259.6900000,53238.0000000,50305.0000000,51325.0100000,29632
20210326,000000,51320.7600000,55125.1300000,51250.0000000,55072.4400000,17833
20210327,000000,55080.9000000,56640.0000000,53966.0000000,55856.5300000,11345
20210328,000000,55856.5400000,56587.0800000,54701.0000000,55778.8200000,9232
20210329,000000,55781.2200000,58400.0000000,54900.0000000,57613.4800000,17556
20210330,000000,57613.7600000,59397.4800000,57000.0000000,58786.4600000,15100
20210331,000000,58786.4600000,59800.0000000,56873.8000000,58800.0000000,17388
20210401,000000,58800.0100000,59474.9400000,57930.0000000,58726.4800000,11102
20210402,000000,58726.4700000,60055.0200000,58441.8800000,58981.0400000,10957
20210403,000000,58981.0400000,59752.0000000,56943.0000000,57094.3400000,8425
20210404,000000,57094.3400000,58500.0000000,56478.5300000,58215.9400000,6303
20210405,000000,58216.7300000,59251.7600000,56817.6400000,59123.0200000,9218
20210406,000000,59134.0700000,59475.0000000,57333.3300000,58019.9800000,10362
20210407,000000,58021.6700000,58630.0000000,55400.0000000,55955.7500000,17784
20210408,000000,55962.6700000,58152.0000000,55700.0000000,58083.1000000,8090
20210409,000000,58083.1000000,58869.6900000,57670.5100000,58092.6800000,8095
20210410,000000,58092.6800000,61218.9700000,57875.4100000,59723.4900000,5445
