<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210101,003000,29181.0000000,29198.9800000,28946.2200000,29149.6800000,571
20210101,010000,29150.0300000,29200.0000000,28983.8700000,29006.0500000,401
20210101,013000,29007.0400000,29154.1700000,28950.0100000,29107.7400000,287
20210101,020000,29107.7300000,29190.0000000,29100.0000000,29157.6500000,304
20210101,023000,29158.6600000,29164.7000000,28974.2600000,29054.0300000,391
20210101,030000,29055.5300000,29056.2700000,28825.0000000,28990.0800000,570
20210101,033000,28990.0800000,29083.7500000,28751.8200000,28901.9800000,406
20210101,040000,28904.5500000,29104.0500000,28902.8500000,29066.5800000,441
20210101,043000,29066.5800000,29461.8700000,29034.3700000,29450.0300000,930
20210101,050000,29443.9600000,29545.0000000,29391.3600000,29487.9500000,850
20210101,053000,29490.2900000,29539.8600000,29302.7100000,29376.6800000,555
20210101,060000,29376.6800000,29398.9100000,29162.2100000,29249.0500000,329
20210101,063000,29249.0500000,29371.2300000,29225.7600000,29275.8000000,229
20210101,070000,29275.8000000,29417.6100000,29254.6400000,29358.3000000,186
20210101,073000,29358.3000000,29465.0000000,29356.0600000,29421.0100000,239
20210101,080000,29421.0100000,29458.8300000,29133.5300000,29290.5200000,359
20210101,083000,29287.9500000,29305.3200000,29148.6000000,29224.9700000,365
20210101,090000,29224.9700000,29274.1700000,29176.4100000,29240.7900000,318
20210101,093000,29246.0600000,29320.0400000,29158.9300000,29158.9300000,321
20210101,100000,29158.9400000,29250.0700000,29158.9400000,29233.9400000,486
20210101,103000,29233.9300000,29234.8700000,28900.0000000,29082.0600000,782
20210101,110000,29082.0600000,29174.9700000,29060.7600000,29166.4100000,257
20210101,113000,29166.4100000,29246.6300000,28928.1600000,29102.6800000,411
20210101,120000,29102.6800000,29189.2200000,29000.0000000,29074.8700000,209
20210101,123000,29071.6300000,29315.7200000,29039.1500000,29262.1500000,188
20210101,130000,29262.1800000,29386.2800000,29256.5800000,29280.4300000,144
20210101,133000,29280.4300000,29419.8300000,29233.4900000,29305.7200000,214
20210101,140000,29303.6200000,29394.0000000,29290.5100000,29314.6200000,71
20210101,143000,29307.1700000,29457.5200000,29301.4800000,29448.2100000,163
20210101,150000,29448.2000000,29490.0000000,29322.1700000,29391.0600000,130
20210101,153000,29391.0500000,29527.0000000,29264.8400000,29518.5200000,246
20210101,160000,29518.5200000,29688.8800000,29226.4200000,29317.0900000,648
20210101,163000,29314.9300000,29500.8700000,29300.0000000,29472.1300000,250
20210101,170000,29471.7800000,29558.7000000,29438.7000000,29545.1500000,168
20210101,173000,29545.1500000,29634.8300000,29432.4400000,29519.8700000,249
20210101,180000,29519.8700000,29529.5900000,29353.5500000,29404.9200000,303
20210101,183000,29404.7800000,29475.8300000,29305.0000000,29365.1000000,288
20210101,190000,29365.1000000,29365.1000000,29100.0000000,29262.0500000,395
