DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20210102,220000,32963.9300000,33300.0000000,32511.8000000,33056.0200000,1450
20210102,230000,33037.6000000,33300.0000000,32767.5300000,33111.8700000,1198
20210103,000000,33111.8700000,33140.0300000,30505.0000000,30674.5800000,4890
20210103,010000,30700.0100000,31965.3900000,30188.0000000,31719.8300000,3512
20210103,020000,31718.8400000,32325.0300000,31442.2900000,32179.3600000,901
20210103,030000,32186.9400000,32270.0000000,31603.8000000,32225.9100000,889
20210103,040000,32222.8800000,32537.7000000,32008.6200000,32485.8000000,796
20210103,050000,32485.7600000,32825.0000000,32250.0000000,32631.2300000,576
20210103,060000,32625.9700000,32921.0900000,32599.9900000,32779.5000000,441
20210103,070000,32778.8100000,32778.8100000,32470.1400000,32617.5500000,370
20210103,080000,32613.6700000,33290.0000000,32490.9100000,33222.9700000,592
20210103,090000,33245.9000000,34205.0000000,33146.9800000,33779.4800000,2651
20210103,100000,33774.0500000,34122.2900000,33668.9300000,33997.5600000,753
20210103,110000,33997.5600000,34810.0000000,33800.0000000,34508.4900000,1192
20210103,120000,34508.4800000,34700.0000000,33743.2000000,34398.9600000,852
20210103,130000,34398.5400000,34597.8600000,33842.0000000,34218.8600000,668
20210103,140000,34228.2400000,34386.9300000,33500.0000000,33903.1800000,817
20210103,150000,33896.7600000,34470.3900000,33807.8400000,34450.2600000,579
20210103,160000,34450.2600000,34618.6300000,33980.0000000,34146.7400000,612
20210103,170000,34146.7000000,34396.0000000,33857.4400000,33916.0800000,869
20210103,180000,33916.0800000,34199.3800000,33550.0000000,33921.9400000,936
20210103,190000,33920.6200000,33974.2700000,32800.0000000,33567.8200000,1558
20210103,200000,33569.3400000,33884.1600000,32623.0800000,32704.2500000,1361
20210103,210000,32704.8900000,33267.1200000,32500.0000000,32933.7400000,1418
20210103,220000,32933.7500000,33041.2400000,32270.5900000,32785.6700000,1115
20210103,230000,32785.6700000,32924.2400000,32444.6200000,32772.4600000,592
20210104,000000,32774.3300000,33840.0000000,32730.0200000,33744.0000000,892
20210104,010000,33743.2700000,33870.0000000,33550.0000000,33598.4700000,391
20210104,020000,33599.2000000,33680.2600000,33023.5300000,33166.1300000,963
20210104,030000,33163.8900000,33640.0000000,32722.3800000,33080.6600000,1310
20210104,040000,33082.8400000,33198.7100000,32453.3700000,32896.2200000,1699
20210104,050000,32896.2100000,33360.0000000,32630.0800000,33229.4000000,857
20210104,060000,33227.5100000,33636.4200000,33020.0000000,33508.7800000,618
20210104,070000,33509.4000000,33619.4800000,33240.8400000,33611.6000000,727
20210104,080000,33607.7900000,33666.9900000,33258.5700000,33345.2500000,509
20210104,090000,33345.1800000,33399.0300000,32891.3400000,32903.8700000,462
20210104,100000,32899.0100000,33517.3100000,32899.0100000,33277.8300000,682
20210104,110000,33275.1900000,33318.4500000,31700.0000000,32108.1300000,1924
20210104,120000,32117.6000000,32599.0100000,31400.0000000,32051.3500000,685
20210104,130000,32045.7100000,32122.3200000,30200.0000000,30998.4000000,1378
20210104,140000,30999.6800000,31198.7000000,27678.0000000,30284.8400000,3144
20210104,150000,30282.4300000,30962.2800000,29376.0300000,30774.1100000,1381
20210104,160000,30769.7500000,31487.8700000,30500.0000000,31282.8700000,1271
20210104,170000,31280.2100000,31455.9200000,30594.0100000,31455.9200000,1703
20210104,180000,31455.9100000,32196.9900000,31443.6900000,32180.7200000,1372
20210104,190000,32179.9400000,32246.0700000,31591.1100000,31771.0100000,1003
20210104,200000,31771.0100000,31930.5500000,30700.0000000,31342.0200000,1465
20210104,210000,31342.0300000,31549.4200000,30607.8800000,31022.2500000,912
20210104,220000,31006.3700000,31455.0000000,30908.4300000,31183.4500000,748
20210104,230000,31183.4400000,31880.0000000,31136.6500000,31690.7600000,715
20210105,000000,31690.7600000,31850.0000000,31230.6700000,31269.4700000,1210
20210105,010000,31265.6400000,31600.0000000,30864.6600000,31044.0400000,654
20210105,020000,31044.0400000,31500.0000000,30984.6100000,31367.0300000,402
20210105,030000,31367.0600000,32050.0000000,31183.7400000,32019.9900000,797
20210105,040000,32020.2200000,32890.0000000,32011.7400000,32445.0000000,1601
