DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20210101,000500,29181.0000000,29192.6900000,29000.0000000,29032.4300000,199
20210101,001000,29030.1300000,29046.5000000,28946.2200000,29042.1500000,88
20210101,001500,29042.1600000,29088.0000000,29025.4200000,29088.0000000,43
20210101,002000,29087.9900000,29198.9800000,29081.5100000,29191.5400000,88
20210101,002500,29193.0400000,29198.7300000,29100.0000000,29129.6300000,116
20210101,003000,29128.8100000,29165.4700000,29128.8100000,29149.6800000,37
20210101,003500,29150.0300000,29200.0000000,29144.3600000,29199.9900000,77
20210101,004000,29200.0000000,29200.0000000,29047.3600000,29068.2100000,82
20210101,004500,29068.5600000,29098.0000000,29062.0900000,29076.0500000,67
20210101,005000,29075.8900000,29075.8900000,29003.6100000,29046.0100000,61
20210101,005500,29046.0200000,29122.6800000,29026.3500000,29051.3400000,49
20210101,010000,29051.3400000,29064.3700000,28983.8700000,29006.0500000,65
20210101,010500,29007.0400000,29104.4800000,29004.0500000,29015.9600000,54
20210101,011000,29015.9600000,29032.4900000,28950.0100000,29030.0000000,71
20210101,011500,29030.0000000,29098.0600000,28998.3800000,29098.0500000,24
20210101,012000,29098.0600000,29100.0000000,29095.3200000,29100.0000000,41
20210101,012500,29099.9900000,29143.7400000,29066.2900000,29133.1500000,66
20210101,013000,29135.0800000,29154.1700000,29106.3200000,29107.7400000,31
20210101,013500,29107.7300000,29154.9900000,29100.0000000,29141.4300000,83
20210101,014000,29139.7800000,29185.0000000,29138.7700000,29159.8100000,35
20210101,014500,29159.1700000,29183.5400000,29142.8200000,29168.9900000,63
20210101,015000,29168.9900000,29175.3100000,29140.8800000,29148.1900000,44
20210101,015500,29148.1900000,29182.0000000,29148.0300000,29163.1500000,48
20210101,020000,29163.1500000,29190.0000000,29120.0900000,29157.6500000,31
20210101,020500,29158.6600000,29164.7000000,28974.2600000,29099.8300000,135
20210101,021000,29099.8300000,29111.7500000,29029.1500000,29096.0100000,60
20210101,021500,29096.0200000,29148.6200000,29074.2000000,29124.5000000,19
20210101,022000,29122.3200000,29151.0000000,29116.5000000,29142.7200000,43
20210101,022500,29142.7200000,29150.0000000,29051.9100000,29070.4100000,71
20210101,023000,29070.4100000,29070.4700000,29000.0000000,29054.0300000,63
20210101,023500,29055.5300000,29056.0100000,28975.0000000,29022.6800000,105
20210101,024000,29026.2800000,29048.9500000,28990.9600000,29040.8100000,66
20210101,024500,29040.7800000,29049.0000000,28880.6500000,28880.6500000,100
20210101,025000,28883.0400000,29021.7400000,28825.0000000,29020.2400000,132
20210101,025500,29021.0000000,29056.2700000,28991.6800000,29040.4600000,103
20210101,030000,29040.1000000,29046.5000000,28965.1900000,28990.0800000,64
20210101,030500,28990.0800000,29083.7500000,28973.7400000,29034.3000000,77
20210101,031000,29029.7500000,29031.7100000,28907.9700000,28925.5500000,33
20210101,031500,28921.6900000,28942.3800000,28751.8200000,28815.6400000,126
20210101,032000,28811.9500000,28927.4100000,28792.0000000,28901.7900000,89
20210101,032500,28901.7800000,28915.5900000,28810.5500000,28915.5900000,50
20210101,033000,28910.0500000,28945.7000000,28884.0500000,28901.9800000,31
20210101,033500,28904.5500000,28968.1000000,28902.8500000,28953.4800000,30
20210101,034000,28956.5000000,29010.0000000,28954.1900000,28980.2200000,65
20210101,034500,28980.2200000,29050.4700000,28980.2100000,29019.2000000,48
20210101,035000,29019.2000000,29072.8200000,28983.1100000,29025.4400000,200
20210101,035500,29025.4400000,29066.0000000,29025.0900000,29034.9700000,47
20210101,040000,29030.0700000,29104.0500000,29027.2600000,29066.5800000,51
20210101,040500,29066.5800000,29137.7200000,29034.3700000,29127.6200000,84
20210101,041000,29133.6000000,29187.6500000,29127.2100000,29180.9000000,92
20210101,041500,29180.8900000,29420.0000000,29180.8900000,29420.0000000,389
20210101,042000,29420.0000000,29431.0000000,29315.0000000,29315.4700000,206
20210101,042500,29320.2800000,29399.9900000,29288.9400000,29391.9900000,104
20210101,043000,29387.8800000,29461.8700000,29360.0000000,29450.0300000,55
20210101,043500,29443.9600000,29500.0000000,29391.8500000,29434.3500000,146
20210101,044000,29434.3500000,29545.0000000,29409.1500000,29486.7800000,228
20210101,044500,29480.5400000,29501.1300000,29393.5400000,29407.1000000,172
20210101,045000,29393.5700000,29469.1900000,29391.3600000,29464.2700000,95
20210101,045500,29460.0000000,29518.7300000,29425.0000000,29461.6300000,152
20210101,050000,29461.6300000,29514.0900000,29439.6800000,29487.9500000,57
20210101,050500,29490.2900000,29539.8600000,29442.3400000,29476.1200000,96
20210101,051000,29476.1100000,29476.1200000,29429.9500000,29452.4600000,88
20210101,051500,29452.4600000,29463.6000000,29302.7100000,29351.0300000,172
20210101,052000,29350.6800000,29425.9900000,29343.3200000,29414.8800000,57
20210101,052500,29414.8800000,29463.3800000,29390.9900000,29437.9200000,101
20210101,053000,29440.8100000,29440.8100000,29357.9100000,29376.6800000,41
20210101,053500,29376.6800000,29376.7000000,29271.3500000,29290.6400000,88
20210101,054000,29292.0000000,29324.9500000,29290.6400000,29299.0000000,25
20210101,054500,29292.2700000,29342.8700000,29162.2100000,29332.0600000,83
20210101,055000,29325.2200000,29398.9100000,29325.2200000,29391.6500000,35
20210101,055500,29391.3700000,29391.3700000,29258.1700000,29258.1700000,36
20210101,060000,29258.1700000,29280.1500000,29220.2200000,29249.0500000,62
20210101,060500,29249.0500000,29312.9000000,29249.0400000,29307.3800000,43
20210101,061000,29307.3800000,29339.1400000,29288.1700000,29338.6900000,54
20210101,061500,29335.7000000,29358.1600000,29335.7000000,29338.8400000,28
20210101,062000,29338.8300000,29371.2300000,29306.4700000,29313.4600000,24
20210101,062500,29313.1600000,29333.5100000,29270.0000000,29309.5000000,35
20210101,063000,29309.4900000,29338.7900000,29225.7600000,29275.8000000,45
20210101,063500,29275.8000000,29330.3700000,29254.6400000,29285.9900000,35
20210101,064000,29290.7300000,29346.5800000,29286.9000000,29314.2700000,32
20210101,064500,29314.2700000,29417.6100000,29312.0600000,29344.5400000,50
20210101,065000,29344.6200000,29377.6900000,29318.4200000,29346.0200000,31
20210101,065500,29346.0300000,29391.6100000,29316.5900000,29388.4300000,10
20210101,070000,29388.4300000,29395.7100000,29354.8800000,29358.3000000,28
20210101,070500,29358.3000000,29419.0100000,29356.0600000,29374.6600000,49
20210101,071000,29373.2900000,29400.0000000,29356.0800000,29382.1400000,27
20210101,071500,29382.1400000,29414.6600000,29357.9000000,29367.5500000,43
20210101,072000,29367.5500000,29465.0000000,29367.5500000,29442.3500000,24
20210101,072500,29442.3600000,29453.5000000,29404.7100000,29440.2500000,46
20210101,073000,29440.2500000,29462.8100000,29421.0000000,29421.0100000,50
20210101,073500,29421.0100000,29458.8300000,29312.5900000,29332.3900000,98
20210101,074000,29329.7200000,29354.4800000,29271.3700000,29271.3800000,82
20210101,074500,29277.4100000,29279.2600000,29133.5300000,29246.8200000,78
20210101,075000,29242.6900000,29297.1000000,29242.6800000,29273.4900000,39
20210101,075500,29272.3200000,29299.7500000,29272.3100000,29289.9900000,21
20210101,080000,29289.9900000,29305.3400000,29270.0000000,29290.5200000,41
20210101,080500,29287.9500000,29305.3200000,29200.0000000,29229.5600000,60
20210101,081000,29229.5700000,29237.0500000,29148.6000000,29169.1700000,70
20210101,081500,29164.3100000,29200.0000000,29156.6300000,29175.0000000,58
20210101,082000,29174.9900000,29233.3500000,29174.9900000,29215.0000000,59
20210101,082500,29215.0000000,29224.8800000,29208.2600000,29223.0900000,53
20210101,083000,29218.9700000,29250.0000000,29212.9400000,29224.9700000,65
20210101,083500,29224.9700000,29251.5800000,29200.0000000,29204.0000000,54
20210101,084000,29204.0000000,29270.6900000,29176.4100000,29258.5100000,51
20210101,084500,29258.5100000,29268.0100000,29213.3100000,29240.2100000,56
20210101,085000,29240.1600000,29274.1700000,29229.9900000,29260.0600000,58
20210101,085500,29260.0400000,29273.5900000,29206.2400000,29209.1600000,53
20210101,090000,29209.1600000,29253.7500000,29209.1500000,29240.7900000,46
20210101,090500,29246.0600000,29307.1600000,29240.7800000,29307.1600000,62
