TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
GDAX.BTC-USD,W,20190916,000000,10303.6600000,10379.9800000,9585.8600000,10026.8000000,49860
GDAX.BTC-USD,W,20190923,000000,10026.7900000,10051.1500000,7712.4500000,8052.4000000,133241
GDAX.BTC-USD,W,20190930,000000,8054.0900000,8535.0000000,7701.0000000,7859.7900000,62139
GDAX.BTC-USD,W,20191007,000000,7859.7900000,8826.0000000,7762.3500000,8282.9700000,59280
GDAX.BTC-USD,W,20191014,000000,8282.9600000,8420.0000000,7814.0800000,8236.1200000,44232
GDAX.BTC-USD,W,20191021,000000,8235.9400000,10540.4900000,7296.4400000,9548.8400000,139179
GDAX.BTC-USD,W,20191028,000000,9555.8900000,9939.6900000,8950.0000000,9206.5200000,64009
GDAX.BTC-USD,W,20191104,000000,9206.5200000,9600.0000000,8660.0000000,9032.2300000,51485
GDAX.BTC-USD,W,20191111,000000,9032.2300000,9067.3400000,8361.0000000,8500.0100000,40529
GDAX.BTC-USD,W,20191118,000000,8501.0000000,8501.0100000,6775.4700000,6908.6400000,91186
GDAX.BTC-USD,W,20191125,000000,6908.6400000,7870.1000000,6526.0000000,7404.2700000,92246
GDAX.BTC-USD,W,20191202,000000,7405.3300000,7775.0000000,7080.0000000,7520.0000000,57187
GDAX.BTC-USD,W,20191209,000000,7520.0000000,7659.3800000,7006.0100000,7111.0000000,47029
GDAX.BTC-USD,W,20191216,000000,7111.0000000,7521.5500000,6430.0000000,7513.0600000,80075
GDAX.BTC-USD,W,20191223,000000,7514.7400000,7688.9900000,7053.3200000,7384.8900000,53200
GDAX.BTC-USD,W,20191230,000000,7384.5700000,7488.8700000,6854.6700000,7355.4000000,49875
GDAX.BTC-USD,W,20200106,000000,7355.4000000,8469.3900000,7343.1700000,8180.8100000,89611
GDAX.BTC-USD,W,20200113,000000,8180.8100000,9194.9900000,8041.9500000,8697.5300000,93882
GDAX.BTC-USD,W,20200120,000000,8697.5300000,8791.7600000,8216.7100000,8595.0000000,48396
GDAX.BTC-USD,W,20200127,000000,8595.0000000,9574.6800000,8556.6000000,9323.5000000,73439
