TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
GDAX.BTC-USD,30,20180301,003000,10638.4400000,10679.0000000,10620.0000000,10634.9900000,72
GDAX.BTC-USD,30,20180301,010000,10634.9900000,10644.0000000,10522.3200000,10531.0000000,56
GDAX.BTC-USD,30,20180301,013000,10530.2100000,10559.1900000,10524.3500000,10530.0000000,56
GDAX.BTC-USD,30,20180301,020000,10529.9900000,10529.9900000,10427.5000000,10430.0000000,139
GDAX.BTC-USD,30,20180301,023000,10430.0000000,10454.7400000,10263.0000000,10330.0000000,265
GDAX.BTC-USD,30,20180301,030000,10332.0700000,10355.1200000,10265.2000000,10307.2700000,127
GDAX.BTC-USD,30,20180301,033000,10307.2600000,10348.7200000,10213.9900000,10320.0200000,219
GDAX.BTC-USD,30,20180301,040000,10320.0200000,10390.0000000,10279.0000000,10386.9900000,104
GDAX.BTC-USD,30,20180301,043000,10386.9800000,10386.9800000,10300.0000000,10364.1700000,119
GDAX.BTC-USD,30,20180301,050000,10364.1700000,10402.5900000,10319.9900000,10402.5900000,56
GDAX.BTC-USD,30,20180301,053000,10404.3400000,10425.0000000,10334.1900000,10334.1900000,78
GDAX.BTC-USD,30,20180301,060000,10334.2000000,10360.0000000,10283.0200000,10322.0000000,52
GDAX.BTC-USD,30,20180301,063000,10322.0000000,10375.0000000,10322.0000000,10350.0100000,46
GDAX.BTC-USD,30,20180301,070000,10350.0200000,10352.0000000,10304.9900000,10352.0000000,69
GDAX.BTC-USD,30,20180301,073000,10351.9900000,10423.5000000,10351.9900000,10423.4900000,69
GDAX.BTC-USD,30,20180301,080000,10423.5000000,10445.2000000,10359.0000000,10418.0000000,67
GDAX.BTC-USD,30,20180301,083000,10418.0000000,10418.0000000,10364.1300000,10386.0600000,42
GDAX.BTC-USD,30,20180301,090000,10386.0600000,10420.0000000,10373.0200000,10390.0100000,48
GDAX.BTC-USD,30,20180301,093000,10390.0000000,10396.5400000,10330.0000000,10330.0000000,38
GDAX.BTC-USD,30,20180301,100000,10325.3600000,10385.8500000,10321.0000000,10374.2000000,29
GDAX.BTC-USD,30,20180301,103000,10374.2000000,10514.9000000,10374.2000000,10514.9000000,81
GDAX.BTC-USD,30,20180301,110000,10515.2300000,10528.5700000,10489.0000000,10513.0900000,61
GDAX.BTC-USD,30,20180301,113000,10513.1000000,10618.2600000,10513.0900000,10592.0500000,50
GDAX.BTC-USD,30,20180301,120000,10592.0500000,10631.0000000,10577.8400000,10616.7900000,52
GDAX.BTC-USD,30,20180301,123000,10604.0400000,10620.0000000,10550.8000000,10573.3200000,58
GDAX.BTC-USD,30,20180301,130000,10573.3200000,10605.0100000,10573.3100000,10590.0000000,37
GDAX.BTC-USD,30,20180301,133000,10590.0100000,10691.0000000,10585.0100000,10660.1100000,61
GDAX.BTC-USD,30,20180301,140000,10660.1100000,10719.0000000,10645.8900000,10719.0000000,49
GDAX.BTC-USD,30,20180301,143000,10719.2500000,10724.1400000,10649.8800000,10689.6300000,49
GDAX.BTC-USD,30,20180301,150000,10689.6200000,10689.6300000,10650.0000000,10650.0000000,46
GDAX.BTC-USD,30,20180301,153000,10650.0100000,10689.0000000,10650.0000000,10665.0900000,39
GDAX.BTC-USD,30,20180301,160000,10665.0900000,10689.6300000,10602.3000000,10613.6000000,66
GDAX.BTC-USD,30,20180301,163000,10613.6000000,10665.0800000,10613.6000000,10654.9500000,32
GDAX.BTC-USD,30,20180301,170000,10654.9600000,10782.5700000,10654.9500000,10752.0000000,111
GDAX.BTC-USD,30,20180301,173000,10757.8000000,10781.0000000,10740.9800000,10754.1500000,76
GDAX.BTC-USD,30,20180301,180000,10754.1500000,10787.1000000,10728.0000000,10762.2900000,116
GDAX.BTC-USD,30,20180301,183000,10762.3000000,10762.3000000,10658.0200000,10666.5600000,76
GDAX.BTC-USD,30,20180301,190000,10666.5500000,10712.7000000,10664.0000000,10690.2000000,58
GDAX.BTC-USD,30,20180301,193000,10690.2100000,10746.5500000,10681.7200000,10724.0000000,63
GDAX.BTC-USD,30,20180301,200000,10720.0100000,10760.9600000,10719.9000000,10736.0000000,79
GDAX.BTC-USD,30,20180301,203000,10736.0000000,10736.0000000,10705.5200000,10721.0000000,94
GDAX.BTC-USD,30,20180301,210000,10721.0000000,10864.0400000,10715.2400000,10840.0100000,112
GDAX.BTC-USD,30,20180301,213000,10840.0000000,10862.0800000,10813.0000000,10861.0100000,113
GDAX.BTC-USD,30,20180301,220000,10861.0100000,10930.0000000,10847.8500000,10919.3000000,184
GDAX.BTC-USD,30,20180301,223000,10919.3100000,10934.9900000,10856.1900000,10884.0000000,104
GDAX.BTC-USD,30,20180301,230000,10884.0000000,10895.9200000,10840.0000000,10890.0000000,120
GDAX.BTC-USD,30,20180301,233000,10889.9900000,10968.0000000,10860.0200000,10968.0000000,148
GDAX.BTC-USD,30,20180302,000000,10970.5500000,11075.0000000,10950.0000000,11034.0000000,254
GDAX.BTC-USD,30,20180302,003000,11034.0100000,11050.0000000,10940.0700000,10960.0000000,195
GDAX.BTC-USD,30,20180302,010000,10959.9900000,10995.0000000,10869.9900000,10917.9900000,165
GDAX.BTC-USD,30,20180302,013000,10918.0000000,10928.9900000,10758.8600000,10843.0400000,148
GDAX.BTC-USD,30,20180302,020000,10843.0400000,10955.0000000,10810.9900000,10954.9900000,99
GDAX.BTC-USD,30,20180302,023000,10954.9900000,10970.0000000,10900.0000000,10917.4500000,150
GDAX.BTC-USD,30,20180302,030000,10916.0300000,10923.0000000,10869.0000000,10895.9200000,78
GDAX.BTC-USD,30,20180302,033000,10895.9300000,11037.9900000,10895.0000000,11037.9800000,128
GDAX.BTC-USD,30,20180302,040000,11037.9800000,11042.0000000,10993.7800000,11008.1700000,143
