TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
GDAX.BTC-USD,60,20180301,010000,10638.4400000,10679.0000000,10522.3200000,10531.0000000,128
GDAX.BTC-USD,60,20180301,020000,10530.2100000,10559.1900000,10427.5000000,10430.0000000,195
GDAX.BTC-USD,60,20180301,030000,10430.0000000,10454.7400000,10263.0000000,10307.2700000,392
GDAX.BTC-USD,60,20180301,040000,10307.2600000,10390.0000000,10213.9900000,10386.9900000,323
GDAX.BTC-USD,60,20180301,050000,10386.9800000,10402.5900000,10300.0000000,10402.5900000,175
GDAX.BTC-USD,60,20180301,060000,10404.3400000,10425.0000000,10283.0200000,10322.0000000,130
GDAX.BTC-USD,60,20180301,070000,10322.0000000,10375.0000000,10304.9900000,10352.0000000,115
GDAX.BTC-USD,60,20180301,080000,10351.9900000,10445.2000000,10351.9900000,10418.0000000,136
GDAX.BTC-USD,60,20180301,090000,10418.0000000,10420.0000000,10364.1300000,10390.0100000,90
GDAX.BTC-USD,60,20180301,100000,10390.0000000,10396.5400000,10321.0000000,10374.2000000,67
GDAX.BTC-USD,60,20180301,110000,10374.2000000,10528.5700000,10374.2000000,10513.0900000,142
GDAX.BTC-USD,60,20180301,120000,10513.1000000,10631.0000000,10513.0900000,10616.7900000,102
GDAX.BTC-USD,60,20180301,130000,10604.0400000,10620.0000000,10550.8000000,10590.0000000,95
GDAX.BTC-USD,60,20180301,140000,10590.0100000,10719.0000000,10585.0100000,10719.0000000,110
GDAX.BTC-USD,60,20180301,150000,10719.2500000,10724.1400000,10649.8800000,10650.0000000,95
GDAX.BTC-USD,60,20180301,160000,10650.0100000,10689.6300000,10602.3000000,10613.6000000,105
GDAX.BTC-USD,60,20180301,170000,10613.6000000,10782.5700000,10613.6000000,10752.0000000,143
GDAX.BTC-USD,60,20180301,180000,10757.8000000,10787.1000000,10728.0000000,10762.2900000,192
GDAX.BTC-USD,60,20180301,190000,10762.3000000,10762.3000000,10658.0200000,10690.2000000,134
GDAX.BTC-USD,60,20180301,200000,10690.2100000,10760.9600000,10681.7200000,10736.0000000,142
GDAX.BTC-USD,60,20180301,210000,10736.0000000,10864.0400000,10705.5200000,10840.0100000,206
GDAX.BTC-USD,60,20180301,220000,10840.0000000,10930.0000000,10813.0000000,10919.3000000,297
GDAX.BTC-USD,60,20180301,230000,10919.3100000,10934.9900000,10840.0000000,10890.0000000,224
GDAX.BTC-USD,60,20180302,000000,10889.9900000,11075.0000000,10860.0200000,11034.0000000,402
GDAX.BTC-USD,60,20180302,010000,11034.0100000,11050.0000000,10869.9900000,10917.9900000,360
GDAX.BTC-USD,60,20180302,020000,10918.0000000,10955.0000000,10758.8600000,10954.9900000,247
GDAX.BTC-USD,60,20180302,030000,10954.9900000,10970.0000000,10869.0000000,10895.9200000,228
GDAX.BTC-USD,60,20180302,040000,10895.9300000,11042.0000000,10895.0000000,11008.1700000,271
GDAX.BTC-USD,60,20180302,050000,11008.1800000,11149.0000000,10975.3700000,11115.2700000,450
GDAX.BTC-USD,60,20180302,060000,11115.2800000,11135.0000000,11020.0000000,11030.4600000,234
GDAX.BTC-USD,60,20180302,070000,11030.5000000,11108.0000000,11030.4900000,11090.0000000,186
GDAX.BTC-USD,60,20180302,080000,11090.0000000,11121.0100000,10950.1100000,10993.0000000,255
GDAX.BTC-USD,60,20180302,090000,10992.9900000,11029.0100000,10920.0000000,10983.5100000,193
GDAX.BTC-USD,60,20180302,100000,10983.5000000,11094.0100000,10983.5000000,11080.3700000,161
GDAX.BTC-USD,60,20180302,110000,11080.3800000,11110.0000000,11028.2800000,11070.0400000,113
GDAX.BTC-USD,60,20180302,120000,11070.0400000,11110.0000000,11029.0200000,11087.9100000,88
GDAX.BTC-USD,60,20180302,130000,11095.3900000,11096.0900000,10850.0000000,10881.5700000,146
GDAX.BTC-USD,60,20180302,140000,10881.5600000,10933.0000000,10827.1800000,10908.9900000,117
GDAX.BTC-USD,60,20180302,150000,10908.9900000,10935.1200000,10834.0000000,10902.8500000,86
GDAX.BTC-USD,60,20180302,160000,10902.8500000,11014.8800000,10902.8500000,11014.8800000,104
GDAX.BTC-USD,60,20180302,170000,11015.0000000,11031.0000000,10954.0300000,10970.0100000,106
GDAX.BTC-USD,60,20180302,180000,10971.0000000,10972.0000000,10765.0000000,10785.0100000,271
GDAX.BTC-USD,60,20180302,190000,10785.0100000,10858.5700000,10785.0100000,10850.0000000,147
