askprice,askquantity,bidprice,bidquantity,time,id
0.00000673,14118.00000000,0.00000672,156140.00000000,2020-11-11T22:28:24.836,387640268
0.00000674,131434.00000000,0.00000671,405264.00000000,,
0.00000675,580578.00000000,0.00000670,235553.00000000,,
0.00000676,106042.00000000,0.00000669,181733.00000000,,
0.00000677,249829.00000000,0.00000668,448651.00000000,,
