askprice,askquantity,bidprice,bidquantity,time,id
0.00000547,32616.00000000,0.00000546,60534.00000000,2020-11-06T20:09:34.726,147140724
0.00000548,4996.00000000,0.00000545,67814.00000000,,
0.00000549,9369.00000000,0.00000544,6915.00000000,,
0.00000550,60376.00000000,0.00000543,53649.00000000,,
0.00000551,19136.00000000,0.00000542,42880.00000000,,
