askprice,askquantity,bidprice,bidquantity,time,id
0.00019214,340.00000000,0.00019020,578.00000000,2020-11-06T20:09:39.745,178130936
0.00019215,50000.00000000,0.00019019,21616.00000000,,
0.00019216,31241.00000000,0.00019014,5297.00000000,,
0.00019218,7119.00000000,0.00019012,1420.00000000,,
0.00019232,352.00000000,0.00019009,50000.00000000,,
