askprice,askquantity,bidprice,bidquantity,time,id
0.00177000,1.53000000,0.00176970,3.70000000,2020-11-11T22:28:24.832,998265897
0.00177010,1.50000000,0.00176960,284.44000000,,
0.00177040,4.96000000,0.00176940,17.21000000,,
0.00177050,7.61000000,0.00176930,66.40000000,,
0.00177060,56.52000000,0.00176920,100.00000000,,
